target,priority_rank,ligand_id,chembl_id,normalized_name,binding_score_composite_v5,reference_binding_kcal_mol,pchembl,standard_type,smiles,inchi_key,pubchem_iupac_name,identity_status,vendor_status,repo_source,chembl_api_url,pubchem_property_url,readiness_note
TRPV1_ION_CHANNEL_BLIND,1,chembl2385220,CHEMBL2385220,Tert-butyl 2-[2-[[3-[[2-[3-fluoro-4-(methanesulfonamido)phenyl]propanoylamino]methyl]-6-(trifluoromethyl)-2-pyridinyl]oxy]ethyl]piperidine-1-carboxylate,-29.914567986922386,-12.985,9.520,Ki,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OCCC1CCCCN1C(=O)OC(C)(C)C)c1ccc(NS(C)(=O)=O)c(F)c1,RXHMBUWWKUMPRB-UHFFFAOYSA-N,tert-butyl 2-[2-[[3-[[2-[3-fluoro-4-(methanesulfonamido)phenyl]propanoylamino]methyl]-6-(trifluoromethyl)-2-pyridinyl]oxy]ethyl]piperidine-1-carboxylate,identity_normalized,vendor_check_pending,runs/ligand_blind_trpv1_chembl20_npz_v6_2026-03-11_r1_stage5_ranking_rows.csv;config/ligand_blind_trpv1_chembl_candidates_v1.csv,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL2385220.json,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/RXHMBUWWKUMPRB-UHFFFAOYSA-N/property/Title,IUPACName/JSON",identity normalized; vendor normalization and purchasability check pending
TRPV1_ION_CHANNEL_BLIND,2,chembl3427109,CHEMBL3427109,2-(3-fluoro-4-methanesulfonamidophenyl)-2-(3-methylphenyl)-N-{[2-(4-methylpiperidin-1-yl)-6-(trifluoromethyl)pyridin-3-yl]methyl}acetamide,-21.910821801628167,-13.64,10.000,Ki,Cc1cccc(C(C(=O)NCc2ccc(C(F)(F)F)nc2N2CCC(C)CC2)c2ccc(NS(C)(=O)=O)c(F)c2)c1,YUQRQEBCGXLGEH-UHFFFAOYSA-N,2-[3-fluoro-4-(methanesulfonamido)phenyl]-2-(3-methylphenyl)-N-[[2-(4-methylpiperidin-1-yl)-6-(trifluoromethyl)-3-pyridinyl]methyl]acetamide,identity_normalized,vendor_check_pending,runs/ligand_blind_trpv1_chembl20_npz_v6_2026-03-11_r1_stage5_ranking_rows.csv;config/ligand_blind_trpv1_chembl_candidates_v1.csv,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL3427109.json,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/YUQRQEBCGXLGEH-UHFFFAOYSA-N/property/Title,IUPACName/JSON",identity normalized; vendor normalization and purchasability check pending
TRPV1_ION_CHANNEL_BLIND,3,chembl2177440,CHEMBL2177440,N-[[2-(4-benzylpiperidin-1-yl)-6-(trifluoromethyl)pyridin-3-yl]methyl]-2-[3-fluoro-4-(methanesulfonamido)phenyl]propanamide,-21.520708387965897,-13.231,9.700,Ki,CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CCC(Cc2ccccc2)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,NRFHGZHDBILTJF-UHFFFAOYSA-N,N-[[2-(4-benzylpiperidin-1-yl)-6-(trifluoromethyl)-3-pyridinyl]methyl]-2-[3-fluoro-4-(methanesulfonamido)phenyl]propanamide,identity_normalized,vendor_check_pending,runs/ligand_blind_trpv1_chembl20_npz_v6_2026-03-11_r1_stage5_ranking_rows.csv;config/ligand_blind_trpv1_chembl_candidates_v1.csv,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL2177440.json,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/NRFHGZHDBILTJF-UHFFFAOYSA-N/property/Title,IUPACName/JSON",identity normalized; vendor normalization and purchasability check pending
TRPV1_ION_CHANNEL_BLIND,4,chembl3317476,CHEMBL3317476,N-[[2-(3-chloro-4-fluorophenyl)-6-(trifluoromethyl)pyridin-3-yl]methyl]-2-[3-fluoro-4-(methanesulfonamido)phenyl]propanamide,-19.85166954878637,-13.231,9.700,Ki,CC(C(=O)NCc1ccc(C(F)(F)F)nc1-c1ccc(F)c(Cl)c1)c1ccc(NS(C)(=O)=O)c(F)c1,CCIUYVYJAAKTQZ-UHFFFAOYSA-N,N-[[2-(3-chloro-4-fluorophenyl)-6-(trifluoromethyl)-3-pyridinyl]methyl]-2-[3-fluoro-4-(methanesulfonamido)phenyl]propanamide,identity_normalized,vendor_check_pending,runs/ligand_blind_trpv1_chembl20_npz_v6_2026-03-11_r1_stage5_ranking_rows.csv;config/ligand_blind_trpv1_chembl_candidates_v1.csv,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL3317476.json,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/CCIUYVYJAAKTQZ-UHFFFAOYSA-N/property/Title,IUPACName/JSON",identity normalized; vendor normalization and purchasability check pending
TRPV1_ION_CHANNEL_BLIND,5,chembl3407762,CHEMBL3407762,N-[[2-butoxy-6-[chloro(difluoro)methyl]pyridin-3-yl]methyl]-2-[3-fluoro-4-(methanesulfonamido)phenyl]propanamide,-19.104219930081378,-14.595,10.700,Ki,CCCCOc1nc(C(F)(F)Cl)ccc1CNC(=O)C(C)c1ccc(NS(C)(=O)=O)c(F)c1,LJTWPGNEUJLDBK-UHFFFAOYSA-N,N-[[2-butoxy-6-[chloro(difluoro)methyl]-3-pyridinyl]methyl]-2-[3-fluoro-4-(methanesulfonamido)phenyl]propanamide,identity_normalized,vendor_check_pending,runs/ligand_blind_trpv1_chembl20_npz_v6_2026-03-11_r1_stage5_ranking_rows.csv;config/ligand_blind_trpv1_chembl_candidates_v1.csv,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL3407762.json,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/LJTWPGNEUJLDBK-UHFFFAOYSA-N/property/Title,IUPACName/JSON",identity normalized; vendor normalization and purchasability check pending
TRPV1_ION_CHANNEL_BLIND,6,chembl3689037,CHEMBL3689037,(2S)-N-[[3-tert-butyl-1-(3-chlorophenyl)pyrazol-5-yl]methyl]-2-[3-fluoro-4-(methanesulfonamido)phenyl]propanamide,-17.52202117873876,-14.186,10.400,Ki,CC(C(=O)NCc1cc(C(C)(C)C)nn1-c1cccc(Cl)c1)c1ccc(NS(C)(=O)=O)c(F)c1,WVJARZWJWNGZDX-HNNXBMFYSA-N,(2S)-N-[[3-tert-butyl-1-(3-chlorophenyl)pyrazol-5-yl]methyl]-2-[3-fluoro-4-(methanesulfonamido)phenyl]propanamide,identity_normalized,vendor_check_pending,runs/ligand_blind_trpv1_chembl20_npz_v6_2026-03-11_r1_stage5_ranking_rows.csv;config/ligand_blind_trpv1_chembl_candidates_v1.csv,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL3689037.json,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/WVJARZWJWNGZDX-HNNXBMFYSA-N/property/Title,IUPACName/JSON",identity normalized; vendor normalization and purchasability check pending
TRPV1_ION_CHANNEL_BLIND,7,chembl3627950,CHEMBL3627950,N-[[2-cyclopentylsulfanyl-4-(trifluoromethyl)phenyl]methyl]-2-[3-fluoro-4-(methanesulfonamido)phenyl]propanamide,-17.13858967642439,-14.349,10.520,Ki,CC(C(=O)NCc1ccc(C(F)(F)F)cc1SC1CCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,WIAXFFNFTIOWHI-UHFFFAOYSA-N,N-[[2-cyclopentylsulfanyl-4-(trifluoromethyl)phenyl]methyl]-2-[3-fluoro-4-(methanesulfonamido)phenyl]propanamide,identity_normalized,vendor_check_pending,runs/ligand_blind_trpv1_chembl20_npz_v6_2026-03-11_r1_stage5_ranking_rows.csv;config/ligand_blind_trpv1_chembl_candidates_v1.csv,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL3627950.json,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/WIAXFFNFTIOWHI-UHFFFAOYSA-N/property/Title,IUPACName/JSON",identity normalized; vendor normalization and purchasability check pending
TRPV1_ION_CHANNEL_BLIND,8,chembl4781687,CHEMBL4781687,1-[[2-(4-methylpiperidin-1-yl)-6-(trifluoromethyl)-3-pyridinyl]methyl]-3-(2-oxo-1H-quinolin-5-yl)urea,-16.61526321603678,-13.053,9.570,IC50,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)CC1,DPMRJPMKHJGTMZ-UHFFFAOYSA-N,1-[[2-(4-methylpiperidin-1-yl)-6-(trifluoromethyl)-3-pyridinyl]methyl]-3-(2-oxo-1H-quinolin-5-yl)urea,identity_normalized,vendor_check_pending,runs/ligand_blind_trpv1_chembl20_npz_v6_2026-03-11_r1_stage5_ranking_rows.csv;config/ligand_blind_trpv1_chembl_candidates_v1.csv,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL4781687.json,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/DPMRJPMKHJGTMZ-UHFFFAOYSA-N/property/Title,IUPACName/JSON",identity normalized; vendor normalization and purchasability check pending
TRPV1_ION_CHANNEL_BLIND,9,chembl3314389,CHEMBL3314389,N-[[2-cyclohexyl-6-(trifluoromethyl)pyridin-3-yl]methyl]-2-[3-fluoro-4-(methanesulfonamido)phenyl]propanamide,-16.026440384184582,-13.231,9.700,Ki,CC(C(=O)NCc1ccc(C(F)(F)F)nc1C1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,WVMIAHSJCZIZEJ-UHFFFAOYSA-N,N-[[2-cyclohexyl-6-(trifluoromethyl)-3-pyridinyl]methyl]-2-[3-fluoro-4-(methanesulfonamido)phenyl]propanamide,identity_normalized,vendor_check_pending,runs/ligand_blind_trpv1_chembl20_npz_v6_2026-03-11_r1_stage5_ranking_rows.csv;config/ligand_blind_trpv1_chembl_candidates_v1.csv,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL3314389.json,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/WVMIAHSJCZIZEJ-UHFFFAOYSA-N/property/Title,IUPACName/JSON",identity normalized; vendor normalization and purchasability check pending
TRPV1_ION_CHANNEL_BLIND,10,chembl3314406,CHEMBL3314406,2-[3-fluoro-4-(methanesulfonamido)phenyl]-N-[[2-[(3R)-3-methylcyclohexen-1-yl]-6-(trifluoromethyl)-3-pyridinyl]methyl]propanamide,-15.116350379655092,-13.64,10.000,Ki,CC1C=C(c2nc(C(F)(F)F)ccc2CNC(=O)C(C)c2ccc(NS(C)(=O)=O)c(F)c2)CCC1,PGGPQRJFNUXTSW-GICMACPYSA-N,2-[3-fluoro-4-(methanesulfonamido)phenyl]-N-[[2-[(3R)-3-methylcyclohexen-1-yl]-6-(trifluoromethyl)-3-pyridinyl]methyl]propanamide,identity_normalized,vendor_check_pending,runs/ligand_blind_trpv1_chembl20_npz_v6_2026-03-11_r1_stage5_ranking_rows.csv;config/ligand_blind_trpv1_chembl_candidates_v1.csv,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL3314406.json,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/PGGPQRJFNUXTSW-GICMACPYSA-N/property/Title,IUPACName/JSON",identity normalized; vendor normalization and purchasability check pending
